"locationid","latitude","longitude","title","address","city","state","postalcode","country","type","chargers","inuse","rundate"
"49189","29.728572","-95.571566","Robinson Westchase Library","3223 Wilcrest Dr","Houston","TX","77042","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"393314","47.622996","-122.123247","Woodside East Apartments","16240 NE 13th Place","Bellevue","WA","98008","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"49182","32.242606","-110.939512","Arizona Inn","2200 E. Elm Street","Tucson","AZ","85719","US","COMMERCIAL","4","0","2022-05-22 11:30:12 PDT"
"49187","29.794697","-95.397294","Houston Heights Library","1302 Heights Boulevard","Houston","TX","77008","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"622648","45.526275","-122.609298","Providence Medical Group - NE Glisan","5330 NE Glisan St","Portland","OR","97213","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"524392","41.830176","-71.426427","Burger King - 45 Pleasant Valley Pkwy","45 Pleasant Valley Pkwy","Providence","RI","02908","US","COMMERCIAL","2","0","2022-05-22 11:30:12 PDT"
"65550","32.851523","-117.183107","Mitchell International","6220 Greenwich Drive","San Diego","CA","92122","US","COMMERCIAL","2","0","2022-05-22 11:30:12 PDT"
"229394","47.6117035","-122.3334138","7th & Pike Garage","1508 7th Avenue","Seattle","WA","98101","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"524297","38.191459","-121.317527","St Jorge Winery","22769 Bender Rd","Acampo","CA","95220","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
"393315","47.621913","-122.122271","Bellepark East Apartments","16242 NE 13th Place","Bellevue","WA","98008","US","COMMERCIAL","1","0","2022-05-22 11:30:12 PDT"
