searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,city_slug,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,phone,review_count,review_rating,RunDate
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6462799,-74.0195503,1.554502698,Burger Slob,1826238,https://www.doordash.com/store/1826238/?pickup=false,"5423 2nd Ave, Brooklyn, NY 11220, USA",American|Sandwich|Burgers,"US$0.00 delivery fee, first order",0,34 - 44,39,NULL,NULL,NULL,0,0,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6279912,-73.9966993,0.219378464,Savarese Pastry Shop,1617505,https://www.doordash.com/store/1617505/?pickup=false,"Savarese Italian Pastry Shoppe, 5922 New Utrecht Ave, Brooklyn, NY 11219, USA",Pastries,"US$0.00 delivery fee, first order",0,29 - 39,34,NULL,NULL,NULL,1,5,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.610076,-73.9998604,1.455280577,NY Brooklyn Bread,1891754,https://www.doordash.com/store/1891754/?pickup=false,"NY Brooklyn Bread, 8108 18th Ave, Brooklyn, NY 11214, USA",Bakeries,"US$0.00 delivery fee, first order",0,23 - 33,28,NULL,NULL,NULL,2,5,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6273396,-74.0138234,0.884223048,My Three Sons Coffee Shop,313484,https://www.doordash.com/store/313484/?pickup=false,"7121 Fort Hamilton Pkwy, Brooklyn, NY 11228, USA",Coffee|Burgers|Sandwiches,"US$0.00 delivery fee, first order",0,23 - 33,28,NULL,NULL,NULL,12,4.3,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.654784,-74.0043399,1.67467047,CAFE NUBE,1526821,https://www.doordash.com/store/1526821/?pickup=false,"940 4th Ave, Brooklyn, NY 11232, USA",Pastries|Bakery|Breakfast and Lunch|Mexican|Mexican Food|Tacos|Salads|Smoothies,"US$0.00 delivery fee, first order",0,22 - 32,27,NULL,NULL,NULL,20,4.8,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6508352,-74.0117354,1.55101514,C-Xique Cafe,312804,https://www.doordash.com/store/312804/?pickup=false,"4420 3rd Ave, Brooklyn, NY 11220, USA",Cafes|Mexican|Pickup|Takeout,"US$0.00 delivery fee, first order",0,28 - 38,33,NULL,NULL,NULL,15,4.5,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6313072,-74.0281532,1.597133487,Mr Chips,1786677,https://www.doordash.com/store/1786677/?pickup=false,"7506 3rd Ave, Brooklyn, NY 11209, USA",Dinner,"US$0.00 delivery fee, first order",0,28 - 38,33,NULL,NULL,NULL,3,4.7,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6376163,-74.0314613,1.827192971,Ed & Rons Superior Market & Grill,1862388,https://www.doordash.com/store/1862388/?pickup=false,"117 Bay Ridge Ave, Brooklyn, NY 11220, USA","Breakfast, Salads & Sandwiches|Wraps|Bagels|Grocery","US$0.00 delivery fee, first order",0,28 - 38,33,NULL,NULL,NULL,0,0,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6289279,-74.023039,1.337177244,Jean Danet Pastry and Caffe,1547400,https://www.doordash.com/store/1547400/?pickup=false,"Jean Danet Pastry, 7526 5th Ave, Brooklyn, NY 11209, USA",Pastries|Sweets|Cake Shop,"US$0.00 delivery fee, first order",0,17 - 27,22,NULL,NULL,NULL,16,4.6,9/9/2021 20:25
11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,NULL,40.6288212,-74.0291057,1.654373232,Off Shore Restaurant,313163,https://www.doordash.com/store/313163/?pickup=false,"Offshore, 7822 3rd Ave, Brooklyn, NY 11209, USA",Italian|Seafood|Lunch|Breakfast,"US$0.00 delivery fee, first order",0,27 - 37,32,NULL,NULL,NULL,3,3.7,9/9/2021 20:25
