searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,phone,review_count,review_rating,RunDate
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.739517,-73.786354,0.370765836,Qdoba Mexican Eats,e86ee980-ee3f-49d8-a2ff-03399ed4d154,"61-40 188th St, Fresh Meadows, NY 11365","['Mexican', 'Bowls', 'Salads', 'Group Friendly']",$0.49 Delivery Fee,NULL,10–20 min(s),15,0.49,0.49,17184549400,200+,4.7,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.73765,-73.79554,0.750387578,Burger King,74c7e72f-0c19-452d-9863-ba8244695a47,"61-19 Fresh Meadow Lane, Queens, NY 11365","['American', 'burger', 'Fast food']",$1.49 Delivery Fee,NULL,10–20 min(s),15,1.49,1.49,15165126550,200+,4.4,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.740196,-73.786804,0.287792366,Haagen Dazs,b3e3cc23-159f-487e-94ce-8f5f7acd9fc3,"61-10 188th St, Fresh Meadows, NY 11365","['Desserts', 'Ice cream & frozen yogurt', 'Vegetarian friendly']",$1.49 Delivery Fee,NULL,10–20 min(s),15,1.49,1.49,17184542568,155,4.6,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.7388946,-73.7915838,0.428447382,CoCo Fresh Tea & Juice - Fresh Meadows,b7a89822-0dbc-4e6c-b8b4-96ff0ac3ab15,"18204 Horace Harding Expy, New York, NY 11365","['Bubble tea', 'Juice & Smoothies', 'Coffee & tea']",$1.99 Delivery Fee,NULL,10–20 min(s),15,1.99,1.99,17183532709,66,4.9,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.72938,-73.78092,1.579805464,Mayfair Wine & Liquor Corporation,23d4ab07-735f-4800-94bc-0c229fe45ded,"18803 Union Tpke, Flushing, NY 11366","['Alcohol', 'Drinks', 'Wine', 'Off-licences']",$2.99 Delivery Fee,NULL,10–20 min(s),15,2.99,2.99,17184799463,61,4.9,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.7579,-73.77964,1.917201315,McDonald's® - Bayside,5a4cfeee-55d2-490b-9ca3-4fbd345d04b4,"203-11 Northern Blvd, BAYSIDE, NY 11361","['American', 'Fast food', 'Burgers']",$3.49 Delivery Fee,NULL,10–25 min(s),17.5,3.49,3.49,17184231577,200+,4.7,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.7575781,-73.7877881,1.715409492,Papa Johns Pizza,5ff21660-841e-491b-b478-be30cbcd3843,"193-18 Northern Blvd, NY 11358","['Wings', 'American', 'Pizza', 'Traditional American', 'Desserts', 'Group Friendly', 'Sandwiches', 'Fast food']",$1.49 Delivery Fee,NULL,10–25 min(s),17.5,1.49,1.49,17182243311,142,4.6,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.75757,-73.79455,1.775148315,Popeyes,d9509f9b-f0a9-5f30-8cb7-f3a586e0f1cf,"17150 Northern Blvd, Flushing, NY 11358","['American', 'Chicken', 'Wings', 'Fried Chicken', 'Fast food']",$0.99 Delivery Fee,NULL,10–25 min(s),17.5,0.99,0.99,13023455275,178,4.4,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.7398899,-73.7866559,0.322278269,Five Guys NY-1106 6122 188th St,e89784a3-8d72-4fb0-a512-c045db7ecdb0,"61-22 188th St, Fresh Meadows, NY 11365","['American', 'Burgers', 'Group Friendly']",$0.49 Delivery Fee,NULL,10–25 min(s),17.5,0.49,0.49,17182641818,200+,4.7,5/30/2023 7:01
11365,40.7421943,-73.7889689,"179-7 69th Ave, Fresh Meadows, NY 11365, USA",NY,Queens,NY,40.73867,-73.79202,0.469193206,Star Dessert 星愿-Fresh Meadows,5f29641b-66c3-4681-ab8b-d38b62fa20db,"61-12 182nd Street, Queens, NY 11365","['Desserts', 'Asian', 'Snacks', 'Cafe', 'Bubble tea', 'whatever', 'Coffee & tea', 'Tea & Coffee', 'Drinks', 'Allergy friendly']",$0.99 Delivery Fee,NULL,10–25 min(s),17.5,0.99,0.99,17185696666,45,4.7,5/30/2023 7:01
