tid,searched_zipcode,searched_category,searched_lat,searched_lng,latitude,longitude,distance,loc_name,loc_number,address,cuisines,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,phone,review_count,review_rating,RunDate,InsertUpdateTime,RunID
1417076,"W1J 0PN",London_Center,51.508984,-0.140258,51.52447,-0.12794,1.9235200596801996,"Wing Wing",25412ba9-4b19-564a-9b90-8a4027ee774f,"30 Woburn Place, London, London WC1H 0JR","['Wings', 'Chicken', 'Fried Chicken', 'Korean']","£1.29 Delivery Fee",1.00,"15–30 min(s)",22.5,1.29,1.29,+442039000990,200+,4.70,"2023-05-30 01:01:10","2023-05-30 01:02:17",61392
1417077,"EC1R 4RG",London_Center,51.5278067,-0.1081333,51.529846,-0.094771504,0.9527993702311462,"McDonald's® - City Road",2e59f1db-bdb4-4d1c-8bed-cf14657953de,"241 City Road, London, England EC1V 1","['Burgers', 'Breakfast and brunch']","£2.79 Delivery Fee",2.00,"10–20 min(s)",15.0,2.79,2.79,+442073366411,200+,4.30,"2023-05-30 01:01:10","2023-05-30 01:02:18",61392
1417078,"EC4Y 8JP",London_Center,51.513570450726704,-0.1051017233806894,51.529846,-0.094771504,1.9479580647363062,"McDonald's® - City Road",2e59f1db-bdb4-4d1c-8bed-cf14657953de,"241 City Road, London, England EC1V 1","['Burgers', 'Breakfast and brunch']","£3.79 Delivery Fee",3.00,"10–25 min(s)",17.5,3.79,3.79,+442073366411,200+,4.30,"2023-05-30 01:01:10","2023-05-30 01:02:19",61392
1417079,"EC1R 4RG",London_Center,51.5278067,-0.1081333,51.522835,-0.1142632,0.6975311222477003,"You Me Sushi",495075f8-687f-41d0-9029-00f780c68c28,"180 Gray'S Inn Rd, London Wc1x 8ew, Uk, England WC1X 8","['Sushi', 'Asian', 'Japanese', 'Group Friendly']","£0.29 Delivery Fee",0.00,"10–20 min(s)",15.0,0.29,0.29,+442072788699,122,4.50,"2023-05-30 01:01:10","2023-05-30 01:02:20",61392
1417080,"W1J 0PN",London_Center,51.508984,-0.140258,51.5204262,-0.1227236,1.7600926850394043,"Taco Bell - London Holborn",dca578ba-4c7a-485e-a028-747c021492ad,"Taco Bell, 75 Southampton Row,, Bloomsbury, London,, Bloomsbury, London, WC1B 4","['Tacos', 'Mexican', 'Fast food', 'Group Friendly']","£3.29 Delivery Fee",3.00,"20–35 min(s)",27.5,3.29,3.29,+442075806698,200+,4.40,"2023-05-30 01:01:10","2023-05-30 01:02:21",61392
1417081,"EC4Y 8JP",London_Center,51.513570450726704,-0.1051017233806894,51.522835,-0.1142632,1.2109383654580699,"You Me Sushi",495075f8-687f-41d0-9029-00f780c68c28,"180 Gray'S Inn Rd, London Wc1x 8ew, Uk, England WC1X 8","['Sushi', 'Asian', 'Japanese', 'Group Friendly']","£0.29 Delivery Fee",0.00,"10–25 min(s)",17.5,0.29,0.29,+442072788699,122,4.50,"2023-05-30 01:01:10","2023-05-30 01:02:21",61392
1417082,"WC2R 0RL",London_Center,51.5100411,-0.1219414,51.522835,-0.1142632,1.520290932468996,"You Me Sushi",495075f8-687f-41d0-9029-00f780c68c28,"180 Gray'S Inn Rd, London Wc1x 8ew, Uk, England WC1X 8","['Sushi', 'Asian', 'Japanese', 'Group Friendly']","£0.29 Delivery Fee",0.00,"15–30 min(s)",22.5,0.29,0.29,+442072788699,122,4.50,"2023-05-30 01:01:10","2023-05-30 01:02:21",61392
1417083,"EC1R 4RG",London_Center,51.5278067,-0.1081333,51.52651,-0.08792,1.4073290148153201,"KFC - London - Old Street",8ad6eb9a-0573-411f-9b47-a65c0bc5660a,"Ec1v 1jb, 129-133 City Road, London, N1 6","['Chicken', 'American', 'Fast food', 'Group Friendly']","£2.79 Delivery Fee",2.00,"10–20 min(s)",15.0,2.79,2.79,+447533020913,200+,4.30,"2023-05-30 01:01:10","2023-05-30 01:02:21",61392
1417084,"WC2R 0RL",London_Center,51.5100411,-0.1219414,51.522038,-0.1108228,1.541680227318836,"Kung Food",9b96364e-dd5a-4d64-bd33-ed6bdb71583b,"158 Clerkenwell Rd, London, England EC1R 5","['Asian', 'Chinese', 'Fast food']","£0.29 Delivery Fee",0.00,"15–30 min(s)",22.5,0.29,0.29,+442077136338,42,4.70,"2023-05-30 01:01:10","2023-05-30 01:02:22",61392
1417085,"EC4Y 8JP",London_Center,51.513570450726704,-0.1051017233806894,51.52651,-0.08792,1.8684871505644183,"KFC - London - Old Street",8ad6eb9a-0573-411f-9b47-a65c0bc5660a,"Ec1v 1jb, 129-133 City Road, London, N1 6","['Chicken', 'American', 'Fast food', 'Group Friendly']","£3.29 Delivery Fee",3.00,"10–25 min(s)",17.5,3.29,3.29,+447533020913,200+,4.30,"2023-05-30 01:01:10","2023-05-30 01:02:22",61392

