WALMART_NAME,WALMART_URL,AMAZON_NAME,AMAZON_URL,WALMART_PRICE_CURRENT,AMAZON_PRICE_CURRENT,SCORE,DEPARTMENT,CATEGORY,TID
Easter Bunny Wood Door Sign - Home Decor - 1 Piece,https://www.walmart.com/ip/Easter-Bunny-Wood-Door-Sign-Home-Decor-1-Piece/372677706,Easter Bunny Wood Door Sign - Home Decor - 1 Piece,https://www.amazon.com/dp/B083MQKGSR,14.29,15.57,1,Easter,Easter Top Picks,10
"Kinder Bueno Milk Chocolate and Hazelnut Cream, Individually Wrapped Mini Chocolate Bars, Easter Basket Gift, 5.7 oz, Share Size",https://www.walmart.com/ip/Kinder-Bueno-Milk-Chocolate-and-Hazelnut-Cream-Individually-Wrapped-Mini-Chocolate-Bars-Easter-Basket-Gift-5-7-oz-Share-Size/524228718?athbdg=L1300,"Kinder Bueno Milk Chocolate and Hazelnut Cream, Individually Wrapped Mini Chocolate Bars, Easter Basket Gift, 5.7 oz, Share Size",https://www.amazon.com/dp/B08Z7J19JR,3.58,3.58,1,Easter,Easter Top Picks,29
"8"" Brown Ivory and Orange Standing Duck Spring Table Top Decoration",https://www.walmart.com/ip/8-Brown-Ivory-and-Orange-Standing-Duck-Spring-Table-Top-Decoration/321275826,"8"" Brown Ivory and Orange Standing Duck Spring Table Top Decoration",https://www.amazon.com/dp/B07YMBP113,18.99,18.99,1,Easter,Easter Top Picks,40
"Caffoz 58"" Home Entertainment Center Wood Media TV Stand, Storage Console, Cabinet for Living Room, Fits up to 60"" TV, Smoky Oak",https://www.walmart.com/ip/Caffoz-58-Home-Entertainment-Center-Wood-Media-TV-Stand-Storage-Console-Cabinet-for-Living-Room-Fits-up-to-60-TV-Smoky-Oak/1073185113,"Caffoz 58"" Home Entertainment Center Wood Media TV Stand, Storage Console, Cabinet for Living Room, Fits up to 60"" TV, Smoky Oak",https://www.amazon.com/dp/B0BGYW1BDD,109.78,142.72,1,"Home, Furniture & Appliances",Furniture,60
"Novogratz Voler Coffee Table, Light Oak",https://www.walmart.com/ip/Novogratz-Voler-Coffee-Table-Light-Oak/2442200546,"Novogratz Voler Coffee Table, Light Oak",https://www.amazon.com/dp/B0BR65517B,106.46,124.2,1,"Home, Furniture & Appliances",Furniture,79
"Furinno Simple Design Coffee Table, Espresso",https://www.walmart.com/ip/Furinno-Simple-Design-Coffee-Table-Espresso/21697205,"Furinno Simple Design Coffee Table, Espresso",https://www.amazon.com/dp/B003VOZE6M,27.76,29.77,1,"Home, Furniture & Appliances",Furniture,85
"Convenience Concepts Oxford Coffee Table with Shelf, Espresso",https://www.walmart.com/ip/Convenience-Concepts-Oxford-Coffee-Table-with-Shelf-Espresso/50441885,"Convenience Concepts Oxford Coffee Table with Shelf, Espresso",https://www.amazon.com/dp/B01CZUG02Y,105.58,105.58,1,"Home, Furniture & Appliances",Furniture,96
"McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz",https://www.walmart.com/ip/McCormick-Air-Fryer-Loaded-Seasoning-Mix-1-25-oz/828569078,"McCormick Air Fryer Loaded Seasoning Mix, 1.25 oz",https://www.amazon.com/dp/B09PFTY1YM,1.48,1.49,1,"Home, Furniture & Appliances",Home,97
"Sceptre 40"" Class FHD (1080P) LED TV (X405BV-FSR)",https://www.walmart.com/ip/Sceptre-40-Class-FHD-1080P-LED-TV-X405BV-FSR/683540269,"Sceptre 40"" Class FHD (1080P) LED TV (X405BV-FSR)",https://www.amazon.com/dp/B07543G5PY,148,207,1,"Home, Furniture & Appliances",Home,99
"Convenience Concepts Designs2Go Highboy TV Stand with Storage Cabinets and Shelves for TVs up to 40 Inches, Black",https://www.walmart.com/ip/Convenience-Concepts-Designs2Go-Highboy-TV-Stand-with-Storage-Cabinets-and-Shelves-for-TVs-up-to-40-Inches-Black/14301670,"Convenience Concepts Designs2Go Highboy TV Stand with Storage Cabinets and Shelves for TVs up to 40 Inches, Black",https://www.amazon.com/dp/B004CYE3QM,89,89,1,"Home, Furniture & Appliances",Furniture,105

